amount,date,card,id_merchant,id_card_holder,cardholder_name,merchant_name,merchant_category,outlier_std,outlier_iqr,outlier_iso,hour,day_of_week,is_weekend,is_early_hour,fraud_score
1685.0000000000002,2018-01-04 03:05:18,3516952396080247,80,7,Sean Taylor,"Kelly, Dyer and Schmitt",food truck,True,True,True,3,3,False,True,4
175.0,2018-01-07 01:10:54,344119623920892,12,18,Malik Carlson,"Bell, Gonzalez and Lowe",pub,False,True,False,1,6,True,True,3
1029.0,2018-01-08 02:34:32,3581345943543942,145,6,Beth Hernandez,Hood-Phillips,bar,True,True,False,2,0,False,True,3
1678.0,2018-01-23 06:29:37,501879657465,92,12,Megan Price,Garcia-White,pub,True,True,True,6,1,False,True,4
1691.0,2018-01-24 13:17:19,4761049645711555811,14,1,Robert Johnson,Osborne-Page,coffee shop,True,True,True,13,2,False,False,3
1430.0,2018-02-17 01:27:19,5570600642865857,71,16,Crystal Clark,Greene LLC,restaurant,True,True,True,1,5,True,True,5
1839.0,2018-02-19 22:48:25,344119623920892,95,18,Malik Carlson,Baxter-Smith,restaurant,True,True,True,22,0,False,False,3
1534.0,2018-03-04 15:50:53,30181963913340,118,9,Laurie Gibbs,Maldonado Group,coffee shop,True,True,True,15,6,True,False,4
1617.0000000000002,2018-03-05 08:26:08,5570600642865857,4,16,Crystal Clark,Mccarty-Thomas,bar,True,True,True,8,0,False,False,3
1334.0,2018-03-06 07:18:09,4319653513507,87,25,Nancy Contreras,Griffin-Woodard,bar,True,True,True,7,1,False,False,3
1530.0,2018-03-12 00:44:01,501879657465,20,12,Megan Price,Kim-Lopez,coffee shop,True,True,True,0,0,False,True,4
1077.0,2018-04-03 03:23:37,344119623920892,100,18,Malik Carlson,Townsend-Anderson,restaurant,True,True,False,3,1,False,True,3
1063.0,2018-04-08 06:03:50,4319653513507,16,25,Nancy Contreras,"Bryant, Thomas and Collins",pub,True,True,False,6,6,True,True,4
2108.0,2018-04-21 19:41:51,3581345943543942,130,6,Beth Hernandez,"Brown, Estrada and Powers",coffee shop,True,True,True,19,5,True,False,4
1901.0,2018-05-08 13:21:01,30142966699187,108,24,Stephanie Dalton,Best Inc,restaurant,True,True,True,13,1,False,False,3
